original_description,amount
COMCAST          7041,19855
Preauthorized Debit STATE FARM RO 2,8294
Preauthorized Debit COMENITY PAY SB,10996
Subscription     Acorns     ***********NUMBER,942
Best Buy #1530,302
BESTBUYCOMNUMBER 03/17 PURCHASE 888-BESTBUY MN,30144
Subscription DES:Acorns ID:HASH INDN:CUSTOMER NAME CO ID:XXXXXNUMBER WEB,314
AT&T,37699
PROGRESSIVE *INSURANCE 06/26 PURCHASE 800-776-4737 OH,130056
AT&T*BILL PAYMENT 214-721-3650 TX            09/07,30473
COMCAST CALIFOR 3055 Comcast Pl 800-266-2278 CAUS,22082
INSTACART,72602
Debit Card BURGER KING #406 SULPHUR SPRI NT ,5564
PAYPAL           INST XFER  GOOGLE GOOGLE S WEB ID: PAYPALSI77,3365
Withdrawal VISA Kindle Unltd*MJ9I40 866-321-8851 WA Date 07/03/20 NUMBER,3465
ACH Payment Acorns Invest Transfer 855-739-2859,15708
BEST BUY         AUTO PYMT  NUMBER WEB ID: CITIAUTFDR,31416
PURCHASE AUTHORIZED ON 08/19 GROUPON INC GROUPON.COM IL SNUMBER CARD NUMBER,16258
PURCHASE AUTHORIZED ON 06/29 Amazon Music*MS7IG 888-802-3080 WA SNUMBER CARD NUMBER,1341
Debit Card Purchase 01/28 11:05p #NUMBER DNH*GODADDY.COM 480-5058855 AZ NUMBER,11417
Amazon Music*MK7YF1832,4709
ANNUAL MEMBERSHIP FEE,29845
GOOGLE*GOOGLE STORAGE,6704
Web Authorized Pmt Affirm.com Payme,31033
VISA DEBIT Kindle Unltd*YA7AF8TL3 866-321-8851 WA Date 04/23/20 NUMBER,3138
AFFIRM.COM PAYME CUSTOMER NAME ACH DEBIT affirm.com ST-HASH,22959
INSTACART SUBSCRIPTION,3138
ELECTRONIC WITHDRAWAL / COMENITY PAY OH WEB PYMT 080120,31416
AT&T*BILL PAYMENT 800-331-0500 TX,29132
DNH*GODADDY.COM          480-5058855  AZ,10047
GEICO DIRECT Bill Payment,64403
BESTBUY.COM,11614
INSTACART 8882467822 CA,14165
PROG SELECT INS DES:INS PREM ID:NUMBER INDN:CUSTOMER NAME CO ID:XXXXXNUMBER  PPD,28545
STATE FARM RO 27/SFPP/010820/PPD,15315
COMCAST CABLE COMM  800-COMCAST         NH,64437
PLAYSTATION NETWORK,13678
Subscription DES:Acorns ID:HASH INDN:EMAIL CO ID:XXXXXNUMBER WEB,942
PAYPAL INST XFER - GODADDY.COM DEBIT,1882
affirm.com Payme affirm.com,6249
COMENITY PAY AC  WEB PYMT   PNUMBER WEB ID: NUMBER,31416
DOORDASH DASHPASS,3138
ACH Payment PLANET FIT CLUB FEES 888-237-9005,6817
ACH W/D: COMENITY PAY OH TYPE: WEB PYMT ID: NUMBER CO: COMENITY PAY OH,40376
Amazon Music*M46Z34KN2,2661
DEBIT FOR  ACORNS INVEST    TRANSFER    CO REF- HASH,3142
PLANET FIT TYPE: CLUB FEES ID: CO: PLANET FIT ACH ECC PPD,3402
PAYPAL INST XFER MICROSOFT STORE,7851
Loan Advance Cre GOOGLE *Google Storage 855-836-3987 CA    Date 02/18/20 NUMBER Card NUMBER,939
AT&T*BILL PAYMENT        214-721-3650 TX,80667
Amazon Music*MS4TO2SN2,1379
Electronic Withdrawal Comcast NUMBER,20103
affirm.com Payme affirm.com NAME,21991
DOORDASH*CHICK-FIL-ASAN FRANCISCO       CA,10157
BESTBUYPHONEPL026104RICHFIELD           MN,1882
GOOGLE*GOOGLE STORAG G.CO HELPPAY#,311
ACH DEBIT XXXXXNUMBER PLANET FIT CLUB FEES,6940
NNT BURGER KING #92931 WAUSEON OH,6538
DOORDASH DASHPASS,1568
DNH*GODADDY.COM,17125
DNH*GODADDY.COM 480-5058855 AZ,5708
Withdrawal TOKEN Trnsctn 05.14 - PlaystationNetwork - PlaystationNetwork 800-3457669 CA,1696
PLAYSTATION NETWORK,939
BILL PAY State FArm Ins. EXP AGENT xxxxxxxCNUMBER ON 07-22,28497
AplPay DOORDASH*BELCSAN FRANCISCO       CA,10330
STATE FARM RO 27 - SFPP,28588
DEBIT CARD PURCHASE XXXXXNUMBER PAYPAL GODADDYCOM XXXXXNUMBER AZ,37661
GODADDY.COM         480-505-8855        AZ,62097
PLANET FIT      CLUB FEES,7565
Kindle Svcs,3346
COMENITY PAY IL DES:WEB PYMT ID:PNUMBER INDN:CUSTOMER NAME CO ID:XXXXXNUMBER WEB,23562
DOORDASH*CLOUD 9 SUSSAN FRANCISCO       CA,12456
AT&T*BILL PAYMENT 8003310500 TX,4238
Withdrawal PAYPAL *PLAYSTATION 402-935-7733 CA Date 05/13/20 NUMBER NUMBER,3280
GOOGLE *GOOGLE STORAGE 855-836-3987 CA HASH,625
